# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.15.0
#@/tick	15381
#@/user_id	a97dd0d8-3b8d-40de-b6cd-ee2c5013a0d7
a 	啊	c=2 d=0.952922 t=15381
yong ji le di si ke 	用极乐迪斯科	c=1 d=0.744532 t=15381
yong le 	用了	c=2 d=1.79558 t=15381
yong shan 	永山	c=1 d=1 t=15381
yong you 	拥有	c=2 d=1.13351 t=15381
yong yuan 	永远	c=1 d=0.740818 t=15381
yong zai 	用在	c=1 d=0.985112 t=15381
you 	优	c=1 d=0.878095 t=15381
you 	又	c=18 d=6.03308 t=15381
you 	右	c=2 d=1.6116 t=15381
you 	有	c=95 d=14.2115 t=15381
you 	由	c=3 d=1.20017 t=15381
you bei 	有被	c=1 d=0.869358 t=15381
you bian 	邮编	c=1 d=0.790571 t=15381
you bie yu 	有别于	c=1 d=0.597501 t=15381
you cheng 	又称	c=1 d=0.790571 t=15381
you dao 	有道	c=1 d=0.895834 t=15381
you de 	有的	c=1 d=0.737123 t=15381
you dian 	有点	c=1 d=0.637628 t=15381
you dian man 	有点慢	c=1 d=0.941765 t=15381
you dian shi 	优点是	c=2 d=1.5344 t=15381
you fang xiang jian 	右方向键	c=1 d=0.913931 t=15381
you gai lv 	有概率	c=1 d=0.744532 t=15381
you ge 	有个	c=1 d=0.701173 t=15381
you ge wen ti 	有个问题	c=1 d=0.913931 t=15381
you guan 	有关	c=2 d=1.86223 t=15381
you hou 	油猴	c=2 d=1.9458 t=15381
you hua 	优化	c=2 d=0.97531 t=15381
you hui 	优惠	c=2 d=1.5063 t=15381
you hui 	又会	c=1 d=0.767206 t=15381
you ji 	游记	c=1 d=1 t=15381
you ji lv 	有几率	c=1 d=0.900325 t=15381
you jian 	右键	c=1 d=0.980199 t=15381
you jian 	邮件	c=2 d=1.85143 t=15381
you ke 	有课	c=1 d=0.748264 t=15381
you ke 	游客	c=1 d=0.97531 t=15381
you kong 	有空	c=2 d=0.992054 t=15381
you le 	有了	c=2 d=0.880138 t=15381
you lie 	优劣	c=1 d=0.970446 t=15381
you lu 	有路	c=0 d=0.0810584 t=15381
you lu zou 	有路走	c=1 d=0.814647 t=15381
you mei you 	有没有	c=12 d=5.37284 t=15381
you mu gong du 	有目共睹	c=1 d=0.826959 t=15381
you na xie 	有哪些	c=1 d=0.937067 t=15381
you qu 	有趣	c=3 d=2.5549 t=15381
you shen me 	有什么	c=12 d=7.21437 t=15381
you shi 	有事	c=1 d=0.831104 t=15381
you shi 	有时	c=4 d=2.28123 t=15381
you suo 	有所	c=2 d=0.945919 t=15381
you xi 	游戏	c=24 d=10.5084 t=15381
you xi li 	游戏里	c=1 d=0.895834 t=15381
you xian 	有限	c=2 d=1.61341 t=15381
you xiang 	又想	c=1 d=0.985112 t=15381
you xiao 	有效	c=3 d=2.26206 t=15381
you xie 	有些	c=7 d=3.61859 t=15381
you xiu 	优秀	c=5 d=1.26491 t=15381
you xu yao 	有需要	c=0 d=0.0970446 t=15381
you xu yao le 	有需要了	c=1 d=0.97531 t=15381
you xuan 	右旋	c=1 d=0.941765 t=15381
you ya 	优雅	c=1 d=0.878095 t=15381
you ya de 	优雅地	c=1 d=0.955997 t=15381
you yi ci 	又一次	c=1 d=0.489192 t=15381
you yi ge 	有一个	c=2 d=1.9605 t=15381
you you 	又有	c=1 d=0.618783 t=15381
you yu 	忧郁	c=1 d=0.511709 t=15381
you yu 	犹豫	c=1 d=0.822835 t=15381
you yu 	由于	c=2 d=0.882497 t=15381
you zhe ge 	有这个	c=1 d=0.995012 t=15381
you zi 	游子	c=0 d=0.099005 t=15381
you zi qing 	游子情	c=1 d=0.995012 t=15381
yu 	与	c=83 d=11.3188 t=15381
yu 	于	c=4 d=2.03243 t=15381
yu 	雨	c=1 d=0.680451 t=15381
yu 	预	c=0 d=0.0891366 t=15381
yu bian ji 	预编辑	c=2 d=1.81895 t=15381
yu ce 	预测	c=3 d=2.25878 t=15381
yu dao 	遇到	c=4 d=2.79337 t=15381
yu ding 	预定	c=2 d=1.15858 t=15381
yu fa 	语法	c=4 d=2.92083 t=15381
yu lan 	预览	c=1 d=0.970446 t=15381
yu lu 	语录	c=1 d=0.913931 t=15381
yu men 	郁闷	c=1 d=0.506617 t=15381
yu shan 	虞山	c=1 d=0.806541 t=15381
yu yan 	语言	c=6 d=2.28568 t=15381
yu yan 	预演	c=3 d=1.44123 t=15381
yu yin 	语音	c=2 d=1.83785 t=15381
yu yu 	余裕	c=1 d=0.856415 t=15381
yu yu 	鱼鱼	c=10 d=4.63221 t=15381
yu zhi 	阈值	c=1 d=0.909373 t=15381
yu zhi bo ban 	宇智波斑	c=0 d=0.0891366 t=15381
yu zhou 	宇宙	c=1 d=0.605128 t=15381
yu zhou di yi 	宇宙第一	c=1 d=0.99005 t=15381
yu zi ji 	与自己	c=1 d=0.677057 t=15381
yuan 	原	c=2 d=0.945503 t=15381
yuan 	园	c=1 d=0.718924 t=15381
yuan 	圆	c=1 d=0.927743 t=15381
yuan 	院	c=3 d=2.40052 t=15381
yuan ben 	原本	c=1 d=0.960789 t=15381
yuan bu liao 	怨不了	c=2 d=1.08209 t=15381
yuan chang 	原厂	c=1 d=0.995012 t=15381
yuan cheng 	远程	c=0 d=0.0927743 t=15381
yuan cheng chang ku 	远程长裤	c=1 d=0.932394 t=15381
yuan chu chu 	原出处	c=1 d=0.980199 t=15381
yuan hua 	原画	c=2 d=1.97045 t=15381
yuan hua 	原话	c=1 d=0.955997 t=15381
yuan ju 	原句	c=1 d=0.970446 t=15381
yuan lai 	原来	c=1 d=0.985112 t=15381
yuan li 	原理	c=10 d=5.39445 t=15381
yuan liang 	原谅	c=1 d=0.937067 t=15381
yuan ma 	源码	c=1 d=0.995012 t=15381
yuan qi 	元气	c=1 d=0.847894 t=15381
yuan qi 	缘起	c=2 d=1.5615 t=15381
yuan qu 	园区	c=1 d=0.856415 t=15381
yuan sheng 	原生	c=4 d=3.49261 t=15381
yuan shi 	原始	c=1 d=0.818731 t=15381
yuan shi 	院士	c=2 d=1.0983 t=15381
yuan su 	元素	c=1 d=0.980199 t=15381
yuan su zhou qi biao 	元素周期表	c=1 d=0.99005 t=15381
yuan ti 	原题	c=0 d=0.0802519 t=15381
yuan ti le 	原题了	c=1 d=0.806541 t=15381
yuan tou 	源头	c=1 d=0.83527 t=15381
yuan tou zhu 	鼋头渚	c=2 d=1.16888 t=15381
yuan xiao 	院校	c=1 d=0.615697 t=15381
yuan yin 	原因	c=3 d=2.33392 t=15381
yuan yin le 	原因了	c=1 d=0.818731 t=15381
yuan zhang 	院长	c=5 d=1.82696 t=15381
yue 	月	c=13 d=8.28557 t=15381
yue 	约	c=1 d=0.752014 t=15381
yue 	越	c=3 d=1.69423 t=15381
yue da 	越大	c=3 d=2.21982 t=15381
yue du 	阅读	c=7 d=4.83846 t=15381
yue du qi 	阅读器	c=1 d=0.937067 t=15381
yue hao 	越好	c=1 d=1 t=15381
yue hua 	约化	c=1 d=0.99005 t=15381
yue hui 	约会	c=0 d=0.0891366 t=15381
yue hui de 	约会的	c=1 d=0.895834 t=15381
yue lai yue duo 	越来越多	c=1 d=1 t=15381
yue qian 	跃迁	c=1 d=0.694197 t=15381
yue qiang 	越强	c=2 d=1.53477 t=15381
yue xiao 	越小	c=2 d=1.70601 t=15381
yun 	云	c=1 d=0.985112 t=15381
yun dong 	运动	c=17 d=4.90754 t=15381
yun dong ding lv 	运动定律	c=1 d=0.843665 t=15381
yun dong xing 	运动性	c=1 d=0.794534 t=15381
yun qi 	运气	c=1 d=0.737123 t=15381
yun shu 	运输	c=3 d=2.81142 t=15381
yun xing 	运行	c=14 d=6.789 t=15381
yun xing kuai 	运行快	c=1 d=0.878095 t=15381
yun xing man 	运行慢	c=1 d=0.891366 t=15381
yun xing yi ci 	运行一次	c=1 d=0.960789 t=15381
yun xu 	允许	c=1 d=0.99005 t=15381
za 	咋	c=1 d=0.891366 t=15381
za bing 	杂兵	c=1 d=0.965605 t=15381
za luan 	杂乱	c=2 d=0.991807 t=15381
za tian 	咋填	c=1 d=0.238115 t=15381
za zhi 	杂质	c=1 d=1 t=15381
zai 	再	c=8 d=2.94023 t=15381
zai 	在	c=121 d=11.7011 t=15381
zai ba 	再把	c=1 d=0.701173 t=15381
zai jia 	在家	c=0 d=0.083527 t=15381
zai jia le 	在家了	c=1 d=0.839457 t=15381
zai lai 	再来	c=4 d=2.04034 t=15381
zai li 	在理	c=0 d=0.0729789 t=15381
zai liu zi 	载流子	c=4 d=2.92876 t=15381
zai na 	在哪	c=2 d=1.86502 t=15381
zai na li 	在哪里	c=1 d=0.891366 t=15381
zai ne me 	在呢么	c=1 d=0.960789 t=15381
zai qu 	再去	c=1 d=0.99005 t=15381
zai ti 	载体	c=1 d=0.40657 t=15381
zai wei lai 	在未来	c=1 d=0.913931 t=15381
zai wo 	在我	c=2 d=1.27865 t=15381
zai xian 	在线	c=3 d=2.14784 t=15381
zai xiang 	在想	c=3 d=1.63731 t=15381
zai xue 	再学	c=1 d=0.831104 t=15381
zai yong 	在用	c=1 d=0.995012 t=15381
zai zuo 	在做	c=1 d=0.960789 t=15381
zan 	咱	c=1 d=0.97531 t=15381
zan cun 	暂存	c=0 d=0.097531 t=15381
zan cun qu 	暂存去	c=1 d=0.980199 t=15381
zan ji 	暂记	c=1 d=0.955997 t=15381
zan shi 	暂时	c=4 d=2.15843 t=15381
zan tong 	赞同	c=1 d=0.923116 t=15381
zao cheng 	造成	c=1 d=0.767206 t=15381
zao cheng le 	造成了	c=3 d=2.60984 t=15381
zao dian 	早点	c=2 d=1.59568 t=15381
zao fu 	造福	c=1 d=0.790571 t=15381
zao sheng 	噪声	c=2 d=1.39466 t=15381
zao yi 	早已	c=1 d=0.571209 t=15381
ze 	则	c=4 d=2.99953 t=15381
ze me 	则么	c=1 d=0.543351 t=15381
ze ne ma 	则呢吗	c=7 d=4.32631 t=15381
ze ren 	责任	c=1 d=0.798516 t=15381
ze xiao 	择校	c=4 d=1.65777 t=15381
zen 	怎	c=1 d=0.883234 t=15381
zen ge ge 	怎各个	c=1 d=0.856415 t=15381
zen me 	怎么	c=211 d=28.3455 t=15381
zen me ban 	怎么办	c=5 d=3.62584 t=15381
zen me he 	怎么和	c=1 d=0.970446 t=15381
zen me jie jue 	怎么解决	c=2 d=1.00441 t=15381
zen me kan 	怎么看	c=1 d=0.960789 t=15381
zen me qu 	怎么去	c=3 d=2.13048 t=15381
zen me she zhi 	怎么设置	c=1 d=0.97531 t=15381
zen me shi xian 	怎么实现	c=2 d=1.89382 t=15381
zen me shuo 	怎么说	c=2 d=1.86516 t=15381
zen me xie 	怎么写	c=1 d=0.995012 t=15381
zen me yang 	怎么样	c=4 d=2.89936 t=15381
zen me yong 	怎么用	c=1 d=0.790571 t=15381
zen me zai 	怎么在	c=2 d=1.88839 t=15381
zen me zuo 	怎么做	c=2 d=1.26447 t=15381
zeng jia 	增加	c=4 d=2.49896 t=15381
zeng jia zhi 	增加值	c=1 d=0.946485 t=15381
zeng kuan 	增宽	c=7 d=4.5511 t=15381
zeng kuan xing 	增宽型	c=2 d=1.32109 t=15381
zeng yi 	增益	c=0 d=0.0798516 t=15381
zeng yi xi shu 	增益系数	c=5 d=3.64796 t=15381
zha 	炸	c=1 d=0.798516 t=15381
zha shi 	扎实	c=0 d=0.0519442 t=15381
zha shi de 	扎实的	c=1 d=0.522046 t=15381
zhan 	占	c=2 d=1.48238 t=15381
zhan 	战	c=2 d=1.3898 t=15381
zhan 	站	c=5 d=2.9728 t=15381
zhan dian 	站点	c=1 d=0.946485 t=15381
zhan kai 	展开	c=1 d=0.918512 t=15381
zhan le 	占了	c=1 d=0.718924 t=15381
zhan li 	战力	c=1 d=0.995012 t=15381
zhan lve 	战略	c=1 d=0.612626 t=15381
zhan qi lai 	站起来	c=1 d=0.941765 t=15381
zhan shi 	展示	c=4 d=1.99488 t=15381
zhan wang 	战网	c=7 d=6.40814 t=15381
zhan xian 	展现	c=2 d=1.34212 t=15381
zhan xin 	崭新	c=1 d=0.472367 t=15381
zhan yong 	占用	c=2 d=1.96561 t=15381
zhang 	张	c=2 d=1.4511 t=15381
zhang hao 	张豪	c=1 d=0.980199 t=15381
zhang hao 	账号	c=1 d=1.07481 t=15381
zhang hao mi ma 	账号密码	c=1 d=0.937067 t=15381
zhang jie 	章节	c=2 d=1.79796 t=15381
zhang jie tiao zhan 	章节挑战	c=1 d=0.995012 t=15381
zhang liang 	张量	c=1 d=0.941765 t=15381
zhang wo zhe 	掌握着	c=1 d=0.66365 t=15381
zhang yu 	张宇	c=5 d=3.1164 t=15381
zhang yu 	章鱼	c=1 d=0.99005 t=15381
zhao 	找	c=1 d=0.818731 t=15381
zhao 	赵	c=3 d=2.05787 t=15381
zhao bu dao 	找不到	c=5 d=3.50531 t=15381
zhao dao 	找到	c=5 d=2.56774 t=15381
zhao gu 	照顾	c=1 d=0.847894 t=15381
zhao guo 	找过	c=1 d=0.831104 t=15381
zhao hui 	找回	c=0 d=0.0904837 t=15381
zhao le 	找了	c=1 d=0.955997 t=15381
zhao ni 	找你	c=1 d=0.826959 t=15381
zhao pian 	照片	c=1 d=0.574072 t=15381
zhao sheng 	招生	c=2 d=1.62102 t=15381
zhe 	着	c=2 d=1.00905 t=15381
zhe 	者	c=3 d=2.02478 t=15381
zhe 	这	c=27 d=7.72518 t=15381
zhe ben 	这本	c=2 d=1.45198 t=15381
zhe bian 	这边	c=1 d=0.65377 t=15381
zhe bu ju 	这部剧	c=1 d=0.937067 t=15381
zhe bu shi 	这不是	c=1 d=0.83527 t=15381
zhe chong fen shuo ming 	这充分说明	c=1 d=0.690734 t=15381
zhe ci 	这次	c=2 d=1.25106 t=15381
zhe dao ti 	这道题	c=4 d=0.866834 t=15381
zhe dian 	这点	c=1 d=0.937067 t=15381
zhe duan 	这段	c=1 d=0.97531 t=15381
zhe fang mian 	这方面	c=1 d=0.726149 t=15381
zhe fen 	这份	c=3 d=2.11769 t=15381
zhe ge 	这个	c=45 d=10.3078 t=15381
zhe ge shi 	这个事	c=1 d=0.506617 t=15381
zhe ge shi pin 	这个视频	c=1 d=0.951229 t=15381
zhe he li 	这合理	c=1 d=0.869358 t=15381
zhe hen hao 	这很好	c=1 d=0.923116 t=15381
zhe hui 	这会	c=1 d=0.373439 t=15381
zhe jian shi 	这件事	c=1 d=0.985112 t=15381
zhe jie 	这届	c=1 d=0.759572 t=15381
zhe jiu 	这就	c=1 d=0.937067 t=15381
zhe jiu shi 	这就是	c=1 d=0.88692 t=15381
zhe kuai 	这块	c=2 d=0.926038 t=15381
zhe lei 	这类	c=2 d=1.68884 t=15381
zhe li 	这里	c=3 d=1.13208 t=15381
zhe liang ge 	这两个	c=3 d=2.20412 t=15381
zhe liang tian 	这两天	c=3 d=1.1294 t=15381
zhe me 	这么	c=4 d=2.3059 t=15381
zhe me da 	这么大	c=1 d=0.740818 t=15381
zhe me duo 	这么多	c=2 d=1.85883 t=15381
zhe me duo de 	这么多的	c=1 d=0.965605 t=15381
zhe pian 	这篇	c=2 d=1.80572 t=15381
zhe qian 	这钱	c=1 d=0.904837 t=15381
zhe san nian 	这三年	c=1 d=0.650509 t=15381
zhe shi 	这事	c=1 d=0.882497 t=15381
zhe shi 	这是	c=18 d=6.5948 t=15381
zhe shi dui 	这是对	c=1 d=0.900325 t=15381
zhe shi ge 	这是个	c=1 d=0.289384 t=15381
zhe shi hou 	这时候	c=1 d=0.882497 t=15381
zhe shi shen me 	这是什么	c=2 d=1.75628 t=15381
zhe teng 	折腾	c=1 d=0.869358 t=15381
zhe ti 	这题	c=2 d=1.37542 t=15381
zhe tiao 	这条	c=1 d=0.778801 t=15381
zhe tiao lu 	这条路	c=1 d=0.514274 t=15381
zhe xie 	这些	c=10 d=4.27401 t=15381
zhe xie shi 	这些是	c=1 d=0.965605 t=15381
zhe xue 	哲学	c=6 d=5.46492 t=15381
zhe yang 	这样	c=12 d=4.62689 t=15381
zhe ye 	这也	c=1 d=0.869358 t=15381
zhe ye ke yi 	这也可以	c=1 d=0.319819 t=15381
zhe yi 	这一	c=2 d=1.25507 t=15381
zhe yi dian 	这一点	c=1 d=0.524663 t=15381
zhe yi kuai 	这一块	c=3 d=2.29757 t=15381
zhe zhang 	这张	c=1 d=0.960789 t=15381
zhe zhi neng 	这只能	c=1 d=0.66034 t=15381
zhe zhi shi 	这只是	c=1 d=0.718924 t=15381
zhe zhong 	这种	c=15 d=5.51811 t=15381
zhen 	帧	c=2 d=1.42526 t=15381
zhen 	真	c=6 d=2.65468 t=15381
zhen bu cuo 	真不错	c=1 d=0.384812 t=15381
zhen dang 	震荡	c=1 d=0.97531 t=15381
zhen de 	真的	c=2 d=1.50064 t=15381
zhen dian 	镇店	c=1 d=0.839457 t=15381
zhen dui 	针对	c=1 d=0.543025 t=15381
zhen fen 	振奋	c=1 d=0.822835 t=15381
zhen fu 	振幅	c=1 d=1.06025 t=15381
zhen fu bi 	振幅比	c=1 d=1 t=15381
zhen kong 	真空	c=2 d=1.93124 t=15381
zhen lv 	帧率	c=2 d=1.28486 t=15381
zhen ren ban 	真人版	c=1 d=0.985112 t=15381
zhen shi 	真实	c=3 d=1.89195 t=15381
zhen shi 	真是	c=1 d=0.865022 t=15381
zhen shu 	帧数	c=3 d=2.11415 t=15381
zhen ti 	真题	c=5 d=3.75267 t=15381
zhen zheng 	真正	c=2 d=0.894138 t=15381
zhen zheng de 	真正的	c=1 d=0.891366 t=15381
zheng 	政	c=1 d=0.771052 t=15381
zheng 	正	c=7 d=3.08525 t=15381
zheng 	郑	c=1 d=0.748264 t=15381
zheng ban 	正版	c=2 d=1.94575 t=15381
zheng chang 	正常	c=17 d=6.25832 t=15381
zheng cheng 	征程	c=1 d=0.909373 t=15381
zheng fu 	政府	c=8 d=3.33062 t=15381
zheng fu gong zuo 	政府工作	c=1 d=0.918512 t=15381
zheng fu kai 	郑福凯	c=14 d=6.43427 t=15381
zheng ge 	整个	c=4 d=2.2618 t=15381
zheng hang 	整行	c=1 d=0.778801 t=15381
zheng hao 	正好	c=2 d=0.843665 t=15381
zheng hao mi ma 	正好密码	c=1 d=0.932394 t=15381
zheng jian zhao 	证件照	c=1 d=0.798516 t=15381
zheng jiao 	正交	c=3 d=2.77902 t=15381
zheng jiao xing 	正交性	c=1 d=0.909373 t=15381
zheng jiu 	拯救	c=2 d=1.90248 t=15381
zheng jiu zhe 	拯救者	c=1 d=0.97531 t=15381
zheng li 	整理	c=1 d=0.440432 t=15381
zheng ming 	证明	c=1 d=0.891366 t=15381
zheng que 	正确	c=4 d=3.30668 t=15381
zheng que de 	正确的	c=1 d=0.918512 t=15381
zheng ru she 	正入射	c=2 d=1.72577 t=15381
zheng shi 	正式	c=1 d=0.701173 t=15381
zheng ti 	整体	c=1 d=0.878095 t=15381
zheng ti gui hua 	整体规划	c=2 d=1.68735 t=15381
zheng wu qiong 	正无穷	c=1 d=0.941765 t=15381
zheng xiang guan 	正相关	c=1 d=0.965605 t=15381
zheng zai 	正在	c=2 d=1.5404 t=15381
zheng zhi 	政治	c=5 d=3.29199 t=15381
zhi 	之	c=6 d=2.49707 t=15381
zhi 	值	c=2 d=1.22355 t=15381
zhi 	只	c=21 d=6.49294 t=15381
zhi 	指	c=2 d=1.19514 t=15381
zhi 	至	c=1 d=0.740818 t=15381
zhi bei 	指北	c=1 d=1 t=15381
zhi chi 	支持	c=1 d=0.941765 t=15381
zhi dao 	知道	c=11 d=4.74446 t=15381
zhi dao de 	知道的	c=1 d=0.496585 t=15381
zhi de 	值得	c=2 d=1.32213 t=15381
zhi ding 	指定	c=2 d=1.84956 t=15381
zhi guan 	直观	c=0 d=0.0960789 t=15381
zhi guan shang 	直观上	c=1 d=0.965605 t=15381
zhi hou 	之后	c=6 d=2.44445 t=15381
zhi hui de 	智慧的	c=1 d=0.774916 t=15381
zhi jian 	之间	c=4 d=2.25119 t=15381
zhi jian de 	之间的	c=1 d=0.647265 t=15381
zhi jiao zuo biao 	直角坐标	c=1 d=0.913931 t=15381
zhi jie 	直接	c=3 d=2.62505 t=15381
zhi jie qu 	直接去	c=1 d=0.995012 t=15381
zhi ju bei 	只具备	c=1 d=0.985112 t=15381
zhi lei 	之类	c=1 d=0.767206 t=15381
zhi lei de 	之类的	c=1 d=0.932394 t=15381
zhi li 	之力	c=2 d=1.36871 t=15381
zhi li 	治理	c=6 d=2.62206 t=15381
zhi li yu 	致力于	c=1 d=0.496585 t=15381
zhi lian 	直连	c=2 d=1.86321 t=15381
zhi lian 	直链	c=1 d=0.995012 t=15381
zhi liang 	质量	c=6 d=3.59799 t=15381
zhi liang da 	质量大	c=1 d=0.794534 t=15381
zhi ling 	指令	c=3 d=2.49061 t=15381
zhi nan 	指南	c=4 d=3.02118 t=15381
zhi neng 	只能	c=6 d=3.68819 t=15381
zhi qian 	之前	c=13 d=3.91185 t=15381
zhi qiu 	直球	c=1 d=0.755784 t=15381
zhi ren 	之人	c=1 d=0.951229 t=15381
zhi shang 	之上	c=1 d=0.66034 t=15381
zhi shao 	至少	c=5 d=2.37456 t=15381
zhi shi 	只是	c=5 d=2.35504 t=15381
zhi shi 	知识	c=10 d=3.99654 t=15381
zhi shi dian 	知识点	c=1 d=0.995012 t=15381
zhi shu 	指数	c=1 d=0.782705 t=15381
zhi wai 	之外	c=1 d=0.909373 t=15381
zhi wang 	知网	c=3 d=0.655055 t=15381
zhi xu yao 	只需要	c=4 d=1.95177 t=15381
zhi yi 	之一	c=2 d=1.33073 t=15381
zhi yong 	只用	c=2 d=1.89583 t=15381
zhi you 	只有	c=17 d=3.93417 t=15381
zhi yu 	值域	c=3 d=1.78603 t=15381
zhi zai 	只在	c=1 d=0.985112 t=15381
zhi zuo 	制作	c=4 d=3.28878 t=15381
zhong 	中	c=32 d=7.88163 t=15381
zhong 	种	c=1 d=0.355226 t=15381
zhong cao le 	种草了	c=1 d=1 t=15381
zhong da 	重大	c=1 d=0.416862 t=15381
zhong da wei ji 	重大危机	c=1 d=0.697676 t=15381
zhong da zhan lve 	重大战略	c=1 d=0.704688 t=15381
zhong de 	中的	c=11 d=5.20411 t=15381
zhong dian 	重点	c=1 d=0.818731 t=15381
zhong duan 	终端	c=24 d=11.8792 t=15381
zhong guo 	中国	c=12 d=3.82763 t=15381
zhong guo ke xue ji shu 	中国科学技术	c=1 d=0.941765 t=15381
zhong guo ke xue ji shu da xue 	中国科学技术大学	c=1 d=0.980199 t=15381
zhong guo ke xue yuan 	中国科学院	c=1 d=0.927743 t=15381
zhong guo shi 	中国式	c=10 d=3.10586 t=15381
zhong guo shi xian dai hua 	中国式现代化	c=1 d=0.585669 t=15381
zhong hua 	中华	c=2 d=0.965605 t=15381
zhong hua min zu 	中华民族	c=1 d=0.486752 t=15381
zhong jian 	中间	c=1 d=0.671521 t=15381
zhong jian dian 	中间点	c=2 d=0.898669 t=15381
zhong li 	重力	c=2 d=1.32956 t=15381
zhong liang qing 	重量轻	c=1 d=0.946485 t=15381
zhong sheng 	终生	c=1 d=0.718924 t=15381
zhong shi 	重视	c=2 d=1.78275 t=15381
zhong tai 	中台	c=1 d=0.891366 t=15381
zhong wai 	中外	c=2 d=1.2667 t=15381
zhong wen 	中文	c=15 d=6.2928 t=15381
zhong xiao 	中小	c=1 d=0.612626 t=15381
zhong xin 	中心	c=3 d=1.71775 t=15381
zhong yao 	重要	c=2 d=0.753401 t=15381
zhong yao ji xian 	重要极限	c=1 d=0.99005 t=15381
zhong ying 	中英	c=1 d=0.88692 t=15381
zhou 	轴	c=9 d=2.61347 t=15381
zhou bian 	周边	c=0 d=0.0308819 t=15381
zhou bian ren 	周边人	c=1 d=0.310367 t=15381
zhou ji 	肘击	c=1 d=0.970446 t=15381
zhou qi 	周期	c=1 d=0.582748 t=15381
zhou qi biao 	周期表	c=1 d=0.985112 t=15381
zhou si 	周四	c=2 d=1.71364 t=15381
zhou wu 	周五	c=1 d=0.744532 t=15381
zhu 	主	c=1 d=0.980199 t=15381
zhu 	柱	c=0 d=0.0847894 t=15381
zhu 	祝	c=1 d=0.694197 t=15381
zhu bo 	驻波	c=1 d=0.985112 t=15381
zhu bu 	逐步	c=1 d=0.932394 t=15381
zhu ce 	注册	c=0 d=0.0932394 t=15381
zhu ce ben 	注册本	c=1 d=0.937067 t=15381
zhu dong 	主动	c=1 d=0.615697 t=15381
zhu duo 	诸多	c=3 d=1.12105 t=15381
zhu ge 	祝哥	c=1 d=1 t=15381
zhu ji ming 	主机名	c=2 d=1.65005 t=15381
zhu li 	助力	c=1 d=0.551563 t=15381
zhu liu 	主流	c=2 d=0.926038 t=15381
zhu ming 	著名	c=2 d=1.14685 t=15381
zhu shi 	注释	c=4 d=2.3485 t=15381
zhu shou 	助手	c=2 d=1.94128 t=15381
zhu ti 	主题	c=26 d=12.0731 t=15381
zhu ti le 	主题了	c=1 d=0.927743 t=15381
zhu xi 	主席	c=0 d=0.0831104 t=15381
zhu yao 	主要	c=6 d=1.17335 t=15381
zhu yao ba 	主要把	c=1 d=0.882497 t=15381
zhu yao shi 	主要是	c=2 d=1.25076 t=15381
zhu yi 	注意	c=2 d=1.75208 t=15381
zhu zai 	住在	c=1 d=0.380983 t=15381
zhu zuo biao 	柱坐标	c=1 d=0.852144 t=15381
zhu zuo quan 	著作权	c=1 d=1 t=15381
zhua da fang xiao 	抓大放小	c=1 d=0.822835 t=15381
zhuai 	拽	c=0 d=0.0826959 t=15381
zhuan 	传	c=2 d=1.41485 t=15381
zhuan 	转	c=5 d=3.08983 t=15381
zhuan chang 	专场	c=1 d=0.847894 t=15381
zhuan hua 	转化	c=5 d=1.98827 t=15381
zhuan hua cheng 	转化成	c=1 d=0.574072 t=15381
zhuan hua wei 	转化为	c=2 d=1.40363 t=15381
zhuan ji 	专辑	c=0 d=0.0960789 t=15381
zhuan ji ai 	专辑爱	c=1 d=0.965605 t=15381
zhuan jia 	专家	c=4 d=1.74922 t=15381
zhuan li 	专利	c=1 d=0.496585 t=15381
zhuan su 	转速	c=1 d=1 t=15381
zhuan ti 	专题	c=2 d=1.29265 t=15381
zhuan xiang 	专项	c=1 d=0.65377 t=15381
zhuan ye 	专业	c=12 d=4.71569 t=15381
zhuan ye ke 	专业课	c=5 d=3.40032 t=15381
zhuan ye qie 	专业且	c=1 d=0.882497 t=15381
zhuan ye ti 	专业题	c=1 d=0.687289 t=15381
zhuang 	装	c=5 d=4.04145 t=15381
zhuang bu liao 	装不了	c=1 d=0.951229 t=15381
zhuang bu shang 	装不上	c=1 d=0.909373 t=15381
zhuang le 	装了	c=1 d=0.941765 t=15381
zhuang tai 	状态	c=4 d=2.26241 t=15381
zhui hui mo ji 	追悔莫及	c=1 d=0.860708 t=15381
zhui qiu 	追求	c=3 d=1.52764 t=15381
zhui sui 	追随	c=1 d=0.470011 t=15381
zhun bei 	准备	c=11 d=5.18934 t=15381
zhun jia 	准假	c=1 d=0.83527 t=15381
zhuo se qi 	着色器	c=1 d=0.927743 t=15381
zhuo zi 	桌子	c=1 d=0.980199 t=15381
zi 	子	c=3 d=1.29678 t=15381
zi 	字	c=5 d=2.94907 t=15381
zi ben zhu yi 	资本主义	c=3 d=1.91429 t=15381
zi ding yi 	自定义	c=2 d=2.03832 t=15381
zi ding yi o shi 	自定义哦是	c=1 d=0.97531 t=15381
zi dong 	自动	c=21 d=10.4338 t=15381
zi dong bu quan 	自动补全	c=1 d=0.913931 t=15381
zi fa fu she 	自发辐射	c=3 d=2.24173 t=15381
zi fu 	字符	c=9 d=7.21732 t=15381
zi fu 	自缚	c=2 d=1.86946 t=15381
zi fu hua 	字符画	c=1 d=0.970446 t=15381
zi ge 	资格	c=1 d=0.358796 t=15381
